5 7
18
Farmer 2;3 false
Sheep 1;3 10 false 
Sheep 2;5 10 false 
Chicken 3;6 10
Chicken 3;4 10
Land 0;0 false false
Land 0;1 false false
Land 0;2 false false
Land 0;3 false false
Land 0;4 false false
Land 0;5 false false
Land 0;6 false false
Land 1;0 false false
Land 1;1 false true
Land 1;2 false false
Land 1;3 false true
Land 1;4 false false
Land 1;5 false false
Land 1;6 false false
Land 2;0 false false
Land 2;1 false false
Land 2;2 false false
Land 2;3 false false
Land 2;4 false false
Land 2;5 false false
Land 2;6 false false
Land 3;0 false true
Land 3;1 false false
Land 3;2 false false
Land 3;3 false false
Land 3;4 false false
Land 3;5 false false
Land 3;6 false false
Land 4;0 false false
Land 4;1 false false
Land 4;2 false false
Land 4;3 false false
Land 4;4 false false
Land 4;5 false false
Land 4;6 false false
Egg 3;6 0
Egg 3;4 0
